,title,views,day
279,Run-DMC,431,2021-01-01
280,Redbone_(band),431,2021-01-01
281,The_Human_League,430,2021-01-01
282,Badfinger,426,2021-01-01
283,Chic_(band),422,2021-01-01
284,Europe_(band),418,2021-01-01
285,OneRepublic,417,2021-01-01
286,The_Corrs,415,2021-01-01
287,Thirty_Seconds_to_Mars,414,2021-01-01
288,Anthrax_(American_band),413,2021-01-01
289,Procol_Harum,411,2021-01-01
290,Mayday_(Taiwanese_band),410,2021-01-01
291,Thompson_Twins,409,2021-01-01
292,Brockhampton_(band),409,2021-01-01
293,Aqua_(band),409,2021-01-01
294,The_Wiggles,407,2021-01-01
295,10cc,407,2021-01-01
296,Jefferson_Starship,406,2021-01-01
297,Home_Free_(group),406,2021-01-01
298,Clean_Bandit,406,2021-01-01
299,Traffic_(band),401,2021-01-01
300,Canned_Heat,399,2021-01-01
301,Paul_McCartney_and_Wings,399,2021-01-01
302,The_Cult,399,2021-01-01
303,DragonForce,398,2021-01-01
304,Greeeen,398,2021-01-01
305,Portishead_(band),397,2021-01-01
306,Orchestral_Manoeuvres_in_the_Dark,397,2021-01-01
307,Frankie_Goes_to_Hollywood,396,2021-01-01
308,Simple_Minds,395,2021-01-01
309,Mott_the_Hoople,393,2021-01-01
310,Vulfpeck,392,2021-01-01
311,Lamb_of_God_(band),391,2021-01-01
312,Cocteau_Twins,391,2021-01-01
313,Jane's_Addiction,389,2021-01-01
314,The_Ronettes,388,2021-01-01
315,Shinsei_Kamattechan,388,2021-01-01
316,The_Guess_Who,385,2021-01-01
317,Whodini,385,2021-01-01
318,Sum_41,385,2021-01-01
319,The_Zombies,384,2021-01-01
320,TraxX,380,2021-01-01
321,Fountains_of_Wayne,380,2021-01-01
322,The_Proclaimers,379,2021-01-01
323,UFO_(band),378,2021-01-01
324,Savage_Garden,377,2021-01-01
325,Sparks_(band),377,2021-01-01
326,Simply_Red,374,2021-01-01
327,Sigur_Rós,374,2021-01-01
328,Cypress_Hill,373,2021-01-01
